gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,tenure_years,has_internet,num_addon_services,charge_tenure_interaction,high_charge_flag,contract_term,auto_pay,echeck_flag,fiber_flag,clv_simple,monthlycharges_z,totalcharges_z,charge_tenure_interaction_z,contract_type_One Year,contract_type_Two Year,internet_type_Fiber optic,internet_type_No Internet,payment_method_Electronic Check,payment_method_Mailed Check,payment_method_Other/Bank Auto,tenure_group_7-12,tenure_group_13-24,tenure_group_25-48,tenure_group_49+
1,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,29.85,29.85,0,0,0,0,0,0,1,0,0.1,1,1.0,29.85,0,1,0,1,0,29.85,-1.16,-0.994,-0.993,False,False,False,False,True,False,False,False,False,False,False
0,0,0,0,34,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,56.95,1889.5,0,0,0,1,0,0,0,1,2.8,1,2.0,1936.3000000000002,0,12,0,0,0,1936.3,-0.26,-0.173,-0.152,True,False,False,False,False,True,False,False,False,True,False
0,0,0,0,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,53.85,108.15,1,0,0,0,0,0,0,1,0.2,1,2.0,107.7,0,1,0,0,0,107.7,-0.363,-0.96,-0.959,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,45,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,42.3,1840.75,0,0,0,1,0,0,0,0,3.8,1,3.0,1903.4999999999998,0,12,0,0,0,1903.5,-0.746,-0.195,-0.166,True,False,False,False,False,False,True,False,False,True,False
1,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.7,151.65,1,1,0,0,0,0,1,0,0.2,1,0.0,141.4,0,1,0,1,1,141.4,0.197,-0.94,-0.944,False,False,True,False,True,False,False,False,False,False,False
1,0,0,0,8,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,99.65,820.5,1,1,0,0,0,0,1,0,0.7,1,4.0,797.2,1,1,0,1,1,797.2,1.159,-0.645,-0.655,False,False,True,False,True,False,False,True,False,False,False
0,0,0,1,22,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,89.1,1949.4,0,1,0,0,0,1,0,0,1.8,1,3.0,1960.1999999999998,0,1,1,0,1,1960.2,0.809,-0.147,-0.141,False,False,True,False,False,False,False,False,True,False,False
1,0,0,0,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,29.75,301.9,0,0,0,0,0,0,0,1,0.8,1,1.0,297.5,0,1,0,0,0,297.5,-1.164,-0.874,-0.875,False,False,False,False,False,True,False,True,False,False,False
1,0,1,0,28,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,104.8,3046.05,1,1,0,0,0,0,1,0,2.3,1,5.0,2934.4,1,1,0,1,1,2934.4,1.331,0.337,0.289,False,False,True,False,True,False,False,False,False,True,False
0,0,0,1,62,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,56.15,3487.95,0,0,0,1,0,0,0,0,5.2,1,2.0,3481.2999999999997,0,12,0,0,0,3481.3,-0.286,0.532,0.531,True,False,False,False,False,False,True,False,False,False,True
0,0,1,1,13,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,49.95,587.45,0,0,0,0,0,0,0,1,1.1,1,1.0,649.35,0,1,0,0,0,649.35,-0.492,-0.748,-0.72,False,False,False,False,False,True,False,False,True,False,False
0,0,0,0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.95,326.8,0,0,1,0,1,1,0,0,1.3,0,0.0,303.2,0,24,1,0,0,303.2,-1.522,-0.863,-0.873,False,True,False,True,False,False,False,False,True,False,False
0,0,1,0,58,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,100.35,5681.1,0,1,0,1,0,1,0,0,4.8,1,4.0,5820.299999999999,1,12,1,0,1,5820.3,1.183,1.501,1.563,True,False,True,False,False,False,False,False,False,False,True
0,0,0,0,49,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,103.7,5036.3,1,1,0,0,0,0,0,0,4.1,1,5.0,5081.3,1,1,0,0,1,5081.3,1.294,1.216,1.237,False,False,True,False,False,False,True,False,False,False,True
0,0,0,0,25,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,105.5,2686.05,0,1,0,0,0,0,1,0,2.1,1,5.0,2637.5,1,1,0,1,1,2637.5,1.354,0.178,0.158,False,False,True,False,True,False,False,False,False,True,False
1,0,1,1,69,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,113.25,7895.15,0,1,0,0,1,1,0,0,5.8,1,7.0,7814.25,1,24,1,0,1,7814.25,1.611,2.478,2.444,False,True,True,False,False,False,False,False,False,False,True
1,0,0,0,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.65,1022.95,0,0,1,1,0,0,0,1,4.3,0,0.0,1073.8,0,12,0,0,0,1073.8,-1.466,-0.556,-0.532,True,False,False,True,False,True,False,False,False,False,True
