gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,tenure_years,has_internet,num_addon_services,charge_tenure_interaction,high_charge_flag,contract_term,auto_pay,echeck_flag,fiber_flag,clv_simple,monthlycharges_z,totalcharges_z,charge_tenure_interaction_z,contract_type_One Year,contract_type_Two Year,internet_type_Fiber optic,internet_type_No Internet,payment_method_Electronic Check,payment_method_Mailed Check,payment_method_Other/Bank Auto,tenure_group_7-12,tenure_group_13-24,tenure_group_25-48,tenure_group_49+,pred_churn_prob,pred_churn_label,,customerID
1,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,0,0,0,0,1,0,0.1,1,1,29.85,0,1,0,1,0,29.85,-1.16,-0.994,-0.993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.22098239,0,,7590-VHVEG
0,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,0,1,0,0,0,1,2.8,1,2,1936.3,0,12,0,0,0,1936.3,-0.26,-0.173,-0.152,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.14187337,0,,5575-GNVDE
0,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,0,1,0.2,1,2,107.7,0,1,0,0,0,107.7,-0.363,-0.96,-0.959,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.1427759,0,,3668-QPYBK
0,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,0,1,0,0,0,0,3.8,1,3,1903.5,0,12,0,0,0,1903.5,-0.746,-0.195,-0.166,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.07798725,0,,7795-CFOCW
1,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,0,1,0,0.2,1,0,141.4,0,1,0,1,1,141.4,0.197,-0.94,-0.944,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.37398037,0,,9237-HQITU
1,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,0,0,0,0,1,0,0.7,1,4,797.2,1,1,0,1,1,797.2,1.159,-0.645,-0.655,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.38802707,0,,9305-CDSKC
0,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,1,0,0,0,1,0,0,1.8,1,3,1960.2,0,1,1,0,1,1960.2,0.809,-0.147,-0.141,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.16469048,0,,1452-KIOVK
1,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,0,1,0.8,1,1,297.5,0,1,0,0,0,297.5,-1.164,-0.874,-0.875,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.09558341,0,,6713-OKOMC
1,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,0,0,0,0,1,0,2.3,1,5,2934.4,1,1,0,1,1,2934.4,1.331,0.337,0.289,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.342639,0,,7892-POOKP
0,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,0,1,0,0,0,0,5.2,1,2,3481.3,0,12,0,0,0,3481.3,-0.286,0.532,0.531,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.11310865,0,,6388-TABGU
